iter	Logloss
0	0.6170669524
1	0.5610997241
2	0.5166158198
3	0.4819982181
4	0.4541055505
5	0.433860663
6	0.4152685175
7	0.4012996711
8	0.3915620599
9	0.3801712415
10	0.3716851445
11	0.365175192
12	0.3582512793
13	0.3518876545
14	0.345845665
15	0.3413382867
16	0.3371186224
17	0.3304016152
18	0.3251904493
19	0.3199522574
20	0.3165327526
21	0.3121831494
22	0.309272277
23	0.3065835191
24	0.3031899493
25	0.3001501104
26	0.2978832777
27	0.2942453761
28	0.2916344307
29	0.2894108389
30	0.2867709898
31	0.2851090813
32	0.2832197872
33	0.2815729422
34	0.2800113842
35	0.2781536134
36	0.2762773788
37	0.2746398226
38	0.2723320992
39	0.271240884
40	0.2697035465
41	0.2684925862
42	0.267157035
43	0.2653377445
44	0.2637883084
45	0.2620502144
46	0.260602398
47	0.2595823077
48	0.2586829162
49	0.2579115565
50	0.2571447045
51	0.2560987326
52	0.2551513095
53	0.2543711062
54	0.2537701052
55	0.2528265444
56	0.2521721252
57	0.2515871555
58	0.2508421657
59	0.2495973718
60	0.2480948309
61	0.2475762318
62	0.2471148305
63	0.2462244619
64	0.2454096635
65	0.244770181
66	0.2438890577
67	0.2432885273
68	0.2425876995
69	0.241894252
70	0.2413013701
71	0.2404469879
72	0.2398701548
73	0.2391458407
74	0.23863083
75	0.2381863204
76	0.2374905175
77	0.236815464
78	0.236422757
79	0.2357971769
80	0.2352829691
81	0.23482066
82	0.2344425961
83	0.2340212483
84	0.2331225792
85	0.2324109689
86	0.2319681856
87	0.230946738
88	0.2305641713
89	0.230294973
90	0.2297021218
91	0.2291530156
92	0.2288062737
93	0.2282342016
94	0.2277508849
95	0.2270918289
96	0.2268292495
97	0.2263385938
98	0.226146059
99	0.2257083356
100	0.2254842992
101	0.2252357659
102	0.2249620739
103	0.2244568832
104	0.2238089936
105	0.2235957126
106	0.2232551989
107	0.2229704667
108	0.22270728
109	0.2223155837
110	0.2220267723
111	0.2215165505
112	0.221281027
113	0.2211094635
114	0.2208557358
115	0.2205929817
116	0.2203921098
117	0.2200145751
118	0.2197213811
119	0.2193706014
120	0.2188717934
121	0.2184995413
122	0.2179955202
123	0.2177841158
124	0.217599411
125	0.2172133981
126	0.2169867065
127	0.2166549017
128	0.2163835999
129	0.2161099375
130	0.2157668309
131	0.2155235394
132	0.215080802
133	0.2147861596
134	0.2144538289
135	0.2141818586
136	0.2138797143
137	0.2136934329
138	0.213308373
139	0.2129619865
140	0.2128083082
141	0.2126043687
142	0.2123262256
143	0.2121846118
144	0.2119037113
145	0.2117675459
146	0.2116571938
147	0.2114824592
148	0.2111908058
149	0.2107592912
150	0.2105954293
151	0.2104579109
152	0.2103164426
153	0.2102260754
154	0.2099739539
155	0.2097909372
156	0.2094208491
157	0.209124024
158	0.2088172097
159	0.2086708011
160	0.208264411
161	0.2079947507
162	0.2078782604
163	0.207751859
164	0.207618086
165	0.2074432492
166	0.2072459183
167	0.2070682233
168	0.2069136043
169	0.2066989152
170	0.2064765804
171	0.2062611608
172	0.2061794532
173	0.2060077191
174	0.2058784546
175	0.2056552552
176	0.2053758562
177	0.2052407964
178	0.2050253241
179	0.2049216032
180	0.2047062734
181	0.2044495354
182	0.204295644
183	0.2040333859
184	0.2037881127
185	0.2036880578
186	0.2036053284
187	0.2035086954
188	0.2033677785
189	0.2031188717
190	0.2030252911
191	0.2028143626
192	0.2025575258
193	0.2024520924
194	0.2023664172
195	0.2022805386
196	0.2020844694
197	0.2018635109
198	0.201586754
199	0.2015096544
200	0.201333167
201	0.2012442429
202	0.201029909
203	0.2009144233
204	0.2007768539
205	0.2006377512
206	0.2004690706
207	0.2002562495
208	0.2001247303
209	0.200025058
210	0.1999433669
211	0.1997593336
212	0.1995904809
213	0.199505172
214	0.1993543428
215	0.1990484268
216	0.1989413762
217	0.1988651855
218	0.1986533098
219	0.198532603
220	0.1984070868
221	0.1983391977
222	0.198189889
223	0.1980414058
224	0.1978928751
225	0.1976757929
226	0.1976216225
227	0.1975100517
228	0.1973470894
229	0.1972371912
230	0.197093135
231	0.1969288255
232	0.1968156032
233	0.1966781716
234	0.1966145275
235	0.1964661454
236	0.1963247899
237	0.1961557647
238	0.1960785063
239	0.1958607163
240	0.1957721882
241	0.1955054082
242	0.1954063241
243	0.1953156021
244	0.1951717353
245	0.1950486073
246	0.1949335515
247	0.1948265805
248	0.1947486418
249	0.1946423408
250	0.194525033
251	0.1944354274
252	0.194285655
253	0.1941551691
254	0.1941010136
255	0.1939997893
256	0.1939025615
257	0.1938171047
258	0.1936584256
259	0.1935423645
260	0.1934243154
261	0.1932577543
262	0.193141319
263	0.1930567466
264	0.1929208563
265	0.1928305599
266	0.1927659574
267	0.192669219
268	0.192480658
269	0.1923715154
270	0.1922487114
271	0.1921375669
272	0.1920205337
273	0.191928874
274	0.1917894768
275	0.1917290018
276	0.1915925255
277	0.1914310102
278	0.1913854301
279	0.191341221
280	0.1912370836
281	0.1911142672
282	0.1910235388
283	0.1909125721
284	0.1907398245
285	0.1907021793
286	0.1906392702
287	0.1905275865
288	0.1904845363
289	0.1903850034
290	0.1903144807
291	0.1902183983
292	0.1901515427
293	0.1900635864
294	0.189961975
295	0.1898526192
296	0.1897553816
297	0.1895888685
298	0.1895264251
299	0.1894863718
300	0.1893757285
301	0.1893380937
302	0.1892193524
303	0.1891051709
304	0.1890187162
305	0.1889360744
306	0.1887941856
307	0.1887155669
308	0.1886263134
309	0.1885761226
310	0.1884949858
311	0.1883729643
312	0.1882908196
313	0.188212882
314	0.1881786645
315	0.1880997323
316	0.1880157707
317	0.187919914
318	0.1878382206
319	0.1877347078
320	0.1876189446
321	0.1875295344
322	0.1874609271
323	0.1873752535
324	0.1872987096
325	0.1872081816
326	0.1871367566
327	0.1870265933
328	0.1869438574
329	0.1868982139
330	0.1868447293
331	0.1867798255
332	0.186710672
333	0.1866141181
334	0.186546139
335	0.1864491659
336	0.186347165
337	0.1862678988
338	0.1862184289
339	0.1861389442
340	0.1860714711
341	0.1859677301
342	0.1859402727
343	0.1858674261
344	0.18583069
345	0.1857546684
346	0.1856879693
347	0.1855766718
348	0.1855101482
349	0.1854350846
350	0.1853216644
351	0.1852555785
352	0.1851647628
353	0.1850855811
354	0.1850521349
355	0.1849864567
356	0.1848802524
357	0.184840689
358	0.1847539377
359	0.184690533
360	0.184590552
361	0.1845316256
362	0.1844456622
363	0.1843677886
364	0.1843148925
365	0.1842573228
366	0.184167986
367	0.1841193088
368	0.1840244229
369	0.1839695754
370	0.1839199434
371	0.1837918621
372	0.1836749683
373	0.1835881501
374	0.1835364291
375	0.1834492067
376	0.183395096
377	0.1833293705
378	0.1833064418
379	0.1832322055
380	0.1831530554
381	0.1830783528
382	0.1830117323
