iter	Passed	Remaining
0	188	94153
1	373	93053
2	571	94655
3	780	96783
4	974	96483
5	1186	97701
6	1400	98661
7	1610	99025
8	1840	100397
9	2056	100753
10	2267	100790
11	2539	103254
12	2736	102498
13	2992	103867
14	3208	103735
15	3454	104492
16	3715	105566
17	3935	105390
18	4180	105839
19	4393	105454
20	4681	106777
21	4939	107313
22	5160	107027
23	5355	106220
24	5584	106110
25	5809	105909
26	6137	107519
27	6423	108290
28	6624	107590
29	6901	108124
30	7187	108739
31	7473	109305
32	7805	110452
33	8054	110393
34	8253	109655
35	8450	108911
36	8692	108777
37	8961	108952
38	9189	108629
39	9410	108223
40	9649	108029
41	9820	107091
42	10015	106445
43	10209	105811
44	10413	105295
45	10608	104697
46	10824	104334
47	11016	103743
48	11277	103798
49	11484	103362
50	11711	103108
51	11924	102731
52	12128	102294
53	12351	102016
54	12547	101521
55	12746	101063
56	12968	100790
57	13173	100392
58	13385	100052
59	13578	99576
60	13783	99192
61	13962	98635
62	14169	98284
63	14369	97892
64	14552	97392
65	14746	96967
66	14968	96736
67	15161	96320
68	15371	96014
69	15543	95484
70	15732	95058
71	15953	94835
72	16132	94363
73	16356	94158
74	16576	93932
75	16791	93679
76	17002	93402
77	17218	93154
78	17420	92837
79	17646	92643
80	17851	92342
81	18055	92036
82	18260	91741
83	18473	91487
84	18664	91125
85	18877	90875
86	19090	90624
87	19311	90413
88	19515	90124
89	19733	89895
90	19940	89621
91	20163	89420
92	20373	89160
93	20557	88788
94	20850	88888
95	21047	88574
96	21259	88325
97	21458	88021
98	21652	87704
99	21853	87415
100	22064	87166
101	22251	86824
102	22433	86468
103	22625	86152
104	22838	85914
105	23017	85554
106	23232	85331
107	23434	85059
108	23630	84766
109	23838	84517
110	24087	84413
111	24403	84540
112	24631	84359
113	24858	84170
114	25094	84012
115	25326	83840
116	25519	83538
117	25709	83230
118	25906	82943
119	26091	82624
120	26328	82466
121	26557	82284
122	26819	82201
123	27057	82045
124	27313	81941
125	27540	81748
126	27757	81523
127	27929	81169
128	28118	80868
129	28336	80648
130	28555	80434
131	28754	80165
132	28984	79979
133	29191	79732
134	29387	79454
135	29581	79172
136	29801	78962
137	30002	78701
138	30264	78600
139	30527	78499
140	30753	78302
141	30943	78011
142	31137	77734
143	31328	77450
144	31523	77177
145	31738	76955
146	31939	76697
147	32142	76446
148	32368	76251
149	32602	76071
150	32827	75872
151	33039	75644
152	33254	75420
153	33469	75198
154	33703	75016
155	33914	74785
156	34144	74595
157	34347	74346
158	34568	74136
159	34821	73996
160	35023	73744
161	35209	73461
162	35404	73198
163	35627	72992
164	35882	72852
165	36075	72584
166	36291	72365
167	36492	72117
168	36727	71932
169	36916	71661
170	37127	71431
171	37322	71172
172	37542	70961
173	37760	70746
174	37953	70484
175	38123	70182
176	38369	70018
177	38569	69771
178	38803	69586
179	38972	69284
180	39176	69045
181	39400	68843
182	39617	68626
183	39870	68473
184	40144	68354
185	40391	68187
186	40607	67968
187	40825	67753
188	41037	67526
189	41293	67373
190	41493	67128
191	41689	66876
192	41924	66687
193	42107	66417
194	42307	66174
195	42511	65936
196	42750	65753
197	42945	65502
198	43130	65237
199	43405	65108
200	43672	64966
201	43885	64741
202	44089	64506
203	44305	64285
204	44565	64130
205	44783	63913
206	44978	63665
207	45186	63434
208	45377	63180
209	45595	62965
210	45780	62704
211	45972	62453
212	46209	62263
213	46419	62037
214	46630	61812
215	46852	61601
